rev	7e2ad7d74
apk_sha256	cf3262f96a881051b9bf051db3ea8e85205d702ca5d41c29742ed02350e6da01
serial	emulator-5560
runs	15
fixture	clocks
gpu	host
snapshot	cold boot
pack	none
cover.glass.frames	246
cover.glass.janky	157
cover.glass.p50_ms	36
cover.glass.p90_ms	113
cover.glass.p95_ms	125
cover.glass.p99_ms	129
inner.glass.frames	263
inner.glass.janky	176
inner.glass.p50_ms	32
inner.glass.p90_ms	117
inner.glass.p95_ms	117
inner.glass.p99_ms	133
backdrop.glass.2076x2152	91 ms (260x269, blur 7px; decode 384x688 at 1/4: 30 ms, crop+scale+blur: 60 ms)
backdrop.glass.1080x2364	76 ms (135x296, blur 7px; decode 192x344 at 1/8: 42 ms, crop+scale+blur: 33 ms)
