rev	df1989c26
apk_sha256	d1860c365b92cec1dc4ddb174d3864fb752ef64c42584d8218f6a8c493b5910c
serial	emulator-5560
runs	15
fixture	clocks
gpu	host
snapshot	cold boot
pack	none
cover.glass.frames	249
cover.glass.janky	153
cover.glass.p50_ms	36
cover.glass.p90_ms	113
cover.glass.p95_ms	117
cover.glass.p99_ms	129
inner.glass.frames	266
inner.glass.janky	180
inner.glass.p50_ms	32
inner.glass.p90_ms	117
inner.glass.p95_ms	117
inner.glass.p99_ms	133
backdrop.glass.2076x2152	89 ms (260x269, blur 7px; decode 384x688 at 1/4: 32 ms, crop+scale+blur: 57 ms)
backdrop.glass.1080x2364	76 ms (135x296, blur 7px; decode 192x344 at 1/8: 45 ms, crop+scale+blur: 30 ms)
