rev	780a1a777
serial	emulator-5560
runs	15
fixture	clocks
gpu	host
snapshot	cold boot
pack	none
cover.glass.frames	249
cover.glass.janky	158
cover.glass.p50_ms	36
cover.glass.p90_ms	113
cover.glass.p95_ms	113
cover.glass.p99_ms	129
inner.glass.frames	262
inner.glass.janky	174
inner.glass.p50_ms	32
inner.glass.p90_ms	117
inner.glass.p95_ms	117
inner.glass.p99_ms	133
backdrop.glass.1080x2364	67 ms (135x296, blur 7px; decode 192x344 at 1/8: 35 ms, crop+scale+blur: 31 ms)
backdrop.glass.2076x2152	113 ms (260x269, blur 7px; decode 384x688 at 1/4: 38 ms, crop+scale+blur: 74 ms)
