# label: baseline
# commit: 33963e7765d7fe3eae8d7f11a053ba581b7805fb
# apk: app-default-debug.apk
# measured: 2026-09-20T08:47:29Z
apk.size.file	80721418	bytes
apk.size.download	29178777	bytes
apk.size.arsc	3109732	bytes
apk.size.assets	132737	bytes
apk.size.dex	74016204	bytes
apk.size.lib	73584	bytes
apk.size.other	318806	bytes
apk.size.res	5613351	bytes
dex.files	28	count
dex.method_refs	315373	count
manifest.permissions	30	count
gradle.modules	53	count
battery.status	3	enum
start.cold.median	2890	ms
start.cold.min	1800	ms
start.cold.max	3955	ms
cpu.startup	11.64	s
threads	56	count
cpu.home_screen	1.70	pct_core
cpu.home_screen_charging	99.20	pct_core
mem.pss.total	200678	KB
mem.rss.total	356100	KB
mem.java_heap	44440	KB
mem.native_heap	0	KB
mem.code	93028	KB
mem.graphics	0	KB
profiles.non_managed	6	count
mem.pss.all_profiles_est	1204068	KB
