# serial emulator-5562, overlay test-fold-gpu, GPU host, adb uid 2000, runs 20, starts 3
# cold-m0 = rev db6e6e432, apk sha256 99d31eed666543c2ecea81d5cf4d555838712d7d0cf035ae7696603d524a5ab5
# cold-m1 = rev db6e6e432-off, apk sha256 4c7cc1776ae1bb561f91280d14853f3ac2dd10754779842b6d04a6111f86f625
build	run	start	hostload	total_ms
cold-m0	1	1	8.31	519
cold-m0	1	2	7.81	458
cold-m0	1	3	7.66	601
cold-m1	1	1	6.93	638
cold-m1	1	2	6.85	963
cold-m1	1	3	7.66	2881
cold-m0	2	1	7.99	1225
cold-m0	2	2	7.83	513
cold-m0	2	3	7.63	4249
cold-m1	2	1	10.43	544
cold-m1	2	2	10.07	552
cold-m1	2	3	11.91	2034
cold-m0	3	1	12.86	4759
cold-m0	3	2	15.21	2514
cold-m0	3	3	15.14	1486
cold-m1	3	1	12.44	486
cold-m1	3	2	11.60	495
cold-m1	3	3	10.91	3341
cold-m0	4	1	12.72	1890
cold-m0	4	2	12.34	596
cold-m0	4	3	11.60	2033
cold-m1	4	1	9.80	1353
cold-m1	4	2	9.26	865
cold-m1	4	3	8.68	751
cold-m0	5	1	9.27	1131
cold-m0	5	2	11.06	573
cold-m0	5	3	10.41	995
cold-m1	5	1	9.80	980
cold-m1	5	2	11.90	630
cold-m1	5	3	12.47	780
cold-m0	6	1	12.49	1009
cold-m0	6	2	14.14	706
cold-m0	6	3	12.57	606
cold-m1	6	1	14.70	576
cold-m1	6	2	13.60	542
cold-m1	6	3	12.83	574
cold-m0	7	1	12.80	498
cold-m0	7	2	12.81	559
cold-m0	7	3	11.87	619
cold-m1	7	1	11.21	1593
cold-m1	7	2	15.52	809
cold-m1	7	3	15.16	629
cold-m0	8	1	13.13	455
cold-m0	8	2	12.48	464
cold-m0	8	3	11.80	608
cold-m1	8	1	9.85	2338
cold-m1	8	2	11.58	531
cold-m1	8	3	10.82	473
cold-m0	9	1	10.28	491
cold-m0	9	2	10.34	764
cold-m0	9	3	9.99	844
cold-m1	9	1	8.29	451
cold-m1	9	2	8.42	1220
cold-m1	9	3	9.15	3177
cold-m0	10	1	11.26	464
cold-m0	10	2	13.33	630
cold-m0	10	3	13.96	1493
cold-m1	10	1	12.14	1130
cold-m1	10	2	11.81	2234
cold-m1	10	3	14.56	2127
cold-m0	11	1	17.80	691
cold-m0	11	2	16.70	1845
cold-m0	11	3	15.86	550
cold-m1	11	1	18.50	601
cold-m1	11	2	16.64	546
cold-m1	11	3	16.99	710
cold-m0	12	1	16.11	559
cold-m0	12	2	15.62	1647
cold-m0	12	3	15.57	717
cold-m1	12	1	13.98	576
cold-m1	12	2	12.94	461
cold-m1	12	3	11.99	3221
cold-m0	13	1	10.44	519
cold-m0	13	2	10.00	1752
cold-m0	13	3	9.37	988
cold-m1	13	1	11.09	541
cold-m1	13	2	10.36	2454
cold-m1	13	3	10.93	2999
cold-m0	14	1	14.60	598
cold-m0	14	2	14.95	3140
cold-m0	14	3	15.57	1571
cold-m1	14	1	16.27	1962
cold-m1	14	2	16.72	483
cold-m1	14	3	15.46	1594
cold-m0	15	1	12.66	1891
cold-m0	15	2	13.92	934
cold-m0	15	3	12.97	492
cold-m1	15	1	13.09	504
cold-m1	15	2	12.28	535
cold-m1	15	3	10.77	927
cold-m0	16	1	9.01	599
cold-m0	16	2	8.37	512
cold-m0	16	3	9.14	2037
cold-m1	16	1	9.98	2340
cold-m1	16	2	9.80	970
cold-m1	16	3	9.58	1805
cold-m0	17	1	9.81	480
cold-m0	17	2	9.27	1653
cold-m0	17	3	10.05	843
cold-m1	17	1	10.82	1435
cold-m1	17	2	10.35	500
cold-m1	17	3	11.16	3229
cold-m0	18	1	13.96	443
cold-m0	18	2	12.92	460
cold-m0	18	3	12.45	623
cold-m1	18	1	11.19	520
cold-m1	18	2	13.02	472
cold-m1	18	3	15.34	540
cold-m0	19	1	13.37	464
cold-m0	19	2	12.78	458
cold-m0	19	3	13.60	584
cold-m1	19	1	11.18	1926
cold-m1	19	2	11.65	557
cold-m1	19	3	11.04	1676
cold-m0	20	1	10.97	573
cold-m0	20	2	14.65	2354
cold-m0	20	3	13.99	2653
cold-m1	20	1	12.76	514
cold-m1	20	2	11.90	571
cold-m1	20	3	11.34	932
