rev	f364925e0
serial	emulator-5560
runs	15
fixture	clocks
gpu	host
snapshot	cold boot
pack	none
cover.glass.frames	406
cover.glass.janky	196
cover.glass.p50_ms	57
cover.glass.p90_ms	150
cover.glass.p95_ms	150
cover.glass.p99_ms	400
inner.glass.frames	549
inner.glass.janky	287
inner.glass.p50_ms	48
inner.glass.p90_ms	133
inner.glass.p95_ms	150
inner.glass.p99_ms	200
backdrop.glass.1080x2364	299 ms (135x296, blur 7px; decode 192x344 at 1/8: 157 ms, crop+scale+blur: 141 ms)
backdrop.glass.2076x2152	267 ms (260x269, blur 7px; decode 384x688 at 1/4: 59 ms, crop+scale+blur: 207 ms)
