# label: no-backup
# commit: 1c5fc671e430b26f24edf256d02a6933bfeaf42e
# apk: app-default-debug.apk
# measured: 2026-09-20T09:17:12Z
apk.size.file	82118387	bytes
apk.size.download	29091867	bytes
apk.size.arsc	3065028	bytes
apk.size.assets	132737	bytes
apk.size.dex	73801744	bytes
apk.size.lib	73584	bytes
apk.size.other	318806	bytes
apk.size.res	5611927	bytes
dex.files	28	count
dex.method_refs	314670	count
manifest.permissions	30	count
gradle.modules	52	count
battery.status	3	enum
start.cold.median	3013	ms
start.cold.median.spread	26.5	pct
cpu.startup	11.81	s
cpu.startup.spread	13.4	pct
threads	57	count
threads.spread	12.3	pct
cpu.home_screen	1.70	pct_core
cpu.home_screen.spread	247.1	pct
cpu.home_screen_charging	3.10	pct_core
cpu.home_screen_charging.spread	87.1	pct
mem.pss.total	198111	KB
mem.pss.total.spread	3.0	pct
mem.rss.total	354960	KB
mem.rss.total.spread	2.1	pct
mem.java_heap	43692	KB
mem.java_heap.spread	0.2	pct
mem.native_heap	0	KB
mem.native_heap.spread	0.0	pct
mem.code	92144	KB
mem.code.spread	5.8	pct
mem.graphics	0	KB
mem.graphics.spread	0.0	pct
# runtime runs: 3
profiles.non_managed	6	count
mem.pss.all_profiles_est	1188666	KB
