# label: no-builtin-widgets
# commit: 04ae5465e528031f83c9d4159930caa5907f1387
# apk: app-default-debug.apk
# measured: 2026-09-20T15:07:33Z
apk.size.file	64391156	bytes
apk.size.download	22362864	bytes
apk.size.arsc	1983796	bytes
apk.size.dex	55832888	bytes
apk.size.lib	73584	bytes
apk.size.other	197928	bytes
apk.size.res	5083077	bytes
dex.files	25	count
dex.method_refs	229687	count
manifest.permissions	12	count
gradle.modules	34	count
battery.status	3	enum
start.cold.median	2622	ms
start.cold.median.spread	4.2	pct
cpu.startup	6.74	s
cpu.startup.spread	14.8	pct
threads	42	count
threads.spread	4.8	pct
cpu.home_screen	0.30	pct_core
cpu.home_screen.spread	333.3	pct
cpu.home_screen_charging	0.40	pct_core
cpu.home_screen_charging.spread	25.0	pct
mem.pss.total	155535	KB
mem.pss.total.spread	0.2	pct
mem.rss.total	305276	KB
mem.rss.total.spread	0.0	pct
mem.java_heap	38096	KB
mem.java_heap.spread	0.0	pct
mem.native_heap	0	KB
mem.native_heap.spread	0.0	pct
mem.code	67904	KB
mem.code.spread	0.0	pct
mem.graphics	0	KB
mem.graphics.spread	0.0	pct
# runtime runs: 3
profiles.non_managed	6	count
mem.pss.all_profiles_est	933210	KB
