# label: no-charging-animation
# commit: f17598ec2288bd652dd76b3fdda0456c6ab4a2e1
# apk: app-default-debug.apk
# measured: 2026-09-20T08:50:26Z
apk.size.file	80721418	bytes
apk.size.download	29165339	bytes
apk.size.arsc	3102928	bytes
apk.size.assets	132737	bytes
apk.size.dex	73983108	bytes
apk.size.lib	73584	bytes
apk.size.other	318806	bytes
apk.size.res	5613351	bytes
dex.files	28	count
dex.method_refs	315269	count
manifest.permissions	30	count
gradle.modules	53	count
battery.status	3	enum
start.cold.median	2746	ms
start.cold.min	1933	ms
start.cold.max	3062	ms
cpu.startup	11.71	s
threads	57	count
cpu.home_screen	1.70	pct_core
cpu.home_screen_charging	1.60	pct_core
mem.pss.total	197742	KB
mem.rss.total	354972	KB
mem.java_heap	43812	KB
mem.native_heap	0	KB
mem.code	91368	KB
mem.graphics	0	KB
profiles.non_managed	6	count
mem.pss.all_profiles_est	1186452	KB
