# label: no-crashreporter
# commit: 9a19a803354aa06e42647cf7fdf153c490f94a44
# apk: app-default-debug.apk
# measured: 2026-09-20T10:17:47Z
apk.size.file	80721243	bytes
apk.size.download	29042401	bytes
apk.size.arsc	3054152	bytes
apk.size.assets	132737	bytes
apk.size.dex	73654648	bytes
apk.size.lib	73584	bytes
apk.size.other	318282	bytes
apk.size.res	5611327	bytes
dex.files	28	count
dex.method_refs	314056	count
manifest.permissions	29	count
gradle.modules	52	count
battery.status	3	enum
start.cold.median	3991	ms
start.cold.median.spread	28.1	pct
cpu.startup	11.97	s
cpu.startup.spread	17.0	pct
threads	57	count
threads.spread	3.5	pct
cpu.home_screen	1.80	pct_core
cpu.home_screen.spread	144.4	pct
cpu.home_screen_charging	3.90	pct_core
cpu.home_screen_charging.spread	71.8	pct
mem.pss.total	186173	KB
mem.pss.total.spread	5.3	pct
mem.rss.total	337628	KB
mem.rss.total.spread	4.3	pct
mem.java_heap	43696	KB
mem.java_heap.spread	0.0	pct
mem.native_heap	0	KB
mem.native_heap.spread	0.0	pct
mem.code	85496	KB
mem.code.spread	6.3	pct
mem.graphics	0	KB
mem.graphics.spread	0.0	pct
# runtime runs: 3
profiles.non_managed	6	count
mem.pss.all_profiles_est	1117038	KB
