# label: no-filesearch
# commit: f4b75479c4b286e1cd32212dbe48c7d3668df982
# apk: app-default-debug.apk
# measured: 2026-09-20T11:53:35Z
apk.size.file	80720900	bytes
apk.size.download	27983943	bytes
apk.size.arsc	2950364	bytes
apk.size.assets	132737	bytes
apk.size.dex	70526136	bytes
apk.size.lib	73584	bytes
apk.size.other	316776	bytes
apk.size.res	5584135	bytes
dex.files	28	count
dex.method_refs	292427	count
manifest.permissions	23	count
gradle.modules	47	count
battery.status	3	enum
start.cold.median	3012	ms
start.cold.median.spread	35.3	pct
cpu.startup	11.22	s
cpu.startup.spread	13.4	pct
threads	57	count
threads.spread	3.5	pct
cpu.home_screen	1.70	pct_core
cpu.home_screen.spread	17.6	pct
cpu.home_screen_charging	1.70	pct_core
cpu.home_screen_charging.spread	11.8	pct
mem.pss.total	183408	KB
mem.pss.total.spread	4.9	pct
mem.rss.total	334480	KB
mem.rss.total.spread	4.2	pct
mem.java_heap	43652	KB
mem.java_heap.spread	0.3	pct
mem.native_heap	0	KB
mem.native_heap.spread	0.0	pct
mem.code	82368	KB
mem.code.spread	5.5	pct
mem.graphics	0	KB
mem.graphics.spread	0.0	pct
# runtime runs: 3
profiles.non_managed	6	count
mem.pss.all_profiles_est	1100448	KB
