# label: no-locations
# commit: d846b688902ecf2f275e6e7cdd17ba775a6d9bae
# apk: app-default-debug.apk
# measured: 2026-09-20T12:13:56Z
apk.size.file	80694305	bytes
apk.size.download	26606250	bytes
apk.size.arsc	2901596	bytes
apk.size.assets	132737	bytes
apk.size.dex	67096704	bytes
apk.size.lib	73584	bytes
apk.size.other	171781	bytes
apk.size.res	5584135	bytes
dex.files	28	count
dex.method_refs	271333	count
manifest.permissions	23	count
gradle.modules	46	count
battery.status	3	enum
start.cold.median	3039	ms
start.cold.median.spread	12.7	pct
cpu.startup	11.25	s
cpu.startup.spread	17.5	pct
threads	55	count
threads.spread	5.5	pct
cpu.home_screen	3.40	pct_core
cpu.home_screen.spread	61.8	pct
cpu.home_screen_charging	2.20	pct_core
cpu.home_screen_charging.spread	104.5	pct
mem.pss.total	179607	KB
mem.pss.total.spread	0.3	pct
mem.rss.total	330288	KB
mem.rss.total.spread	0.4	pct
mem.java_heap	43424	KB
mem.java_heap.spread	0.7	pct
mem.native_heap	0	KB
mem.native_heap.spread	0.0	pct
mem.code	79000	KB
mem.code.spread	0.1	pct
mem.graphics	0	KB
mem.graphics.spread	0.0	pct
# runtime runs: 3
profiles.non_managed	6	count
mem.pss.all_profiles_est	1077642	KB
