# label: no-tools
# commit: 4a469c3497db06a6cef8df643f539aaee314c8b6
# apk: app-default-debug.apk
# measured: 2026-09-20T13:17:58Z
apk.size.file	80693553	bytes
apk.size.download	24117681	bytes
apk.size.arsc	2626080	bytes
apk.size.dex	59776600	bytes
apk.size.lib	73584	bytes
apk.size.other	208324	bytes
apk.size.res	5582667	bytes
dex.files	27	count
dex.method_refs	246035	count
manifest.permissions	13	count
gradle.modules	38	count
battery.status	3	enum
start.cold.median	3021	ms
start.cold.median.spread	31.2	pct
cpu.startup	9.91	s
cpu.startup.spread	16.3	pct
threads	42	count
threads.spread	4.8	pct
cpu.home_screen	3.90	pct_core
cpu.home_screen.spread	71.8	pct
cpu.home_screen_charging	3	pct_core
cpu.home_screen_charging.spread	46.7	pct
mem.pss.total	165241	KB
mem.pss.total.spread	0.1	pct
mem.rss.total	315384	KB
mem.rss.total.spread	0.2	pct
mem.java_heap	41228	KB
mem.java_heap.spread	0.2	pct
mem.native_heap	0	KB
mem.native_heap.spread	0.0	pct
mem.code	71712	KB
mem.code.spread	0.0	pct
mem.graphics	0	KB
mem.graphics.spread	0.0	pct
# runtime runs: 3
profiles.non_managed	6	count
mem.pss.all_profiles_est	991446	KB
