# label: no-weather
# commit: 810a26a04444677ebdc0aa9c4410d76f20ceb8e2
# apk: app-default-debug.apk
# measured: 2026-09-20T12:36:06Z
apk.size.file	80694246	bytes
apk.size.download	26172215	bytes
apk.size.arsc	2720816	bytes
apk.size.assets	132737	bytes
apk.size.dex	65850008	bytes
apk.size.lib	73584	bytes
apk.size.other	170961	bytes
apk.size.res	5584135	bytes
dex.files	27	count
dex.method_refs	267267	count
manifest.permissions	21	count
gradle.modules	44	count
battery.status	3	enum
start.cold.median	2586	ms
start.cold.median.spread	4.1	pct
cpu.startup	9.22	s
cpu.startup.spread	3.3	pct
threads	55	count
threads.spread	1.8	pct
cpu.home_screen	1.70	pct_core
cpu.home_screen.spread	17.6	pct
cpu.home_screen_charging	1.70	pct_core
cpu.home_screen_charging.spread	17.6	pct
mem.pss.total	173154	KB
mem.pss.total.spread	0.3	pct
mem.rss.total	323872	KB
mem.rss.total.spread	0.1	pct
mem.java_heap	42680	KB
mem.java_heap.spread	0.1	pct
mem.native_heap	0	KB
mem.native_heap.spread	0.0	pct
mem.code	77704	KB
mem.code.spread	0.3	pct
mem.graphics	0	KB
mem.graphics.spread	0.0	pct
# runtime runs: 3
profiles.non_managed	6	count
mem.pss.all_profiles_est	1038924	KB
