# revisions are the branch's after a comment-only rebase; the APKs were built from 743a4271b / db8bb8fa9 / 3fb1b3315, whose app sources are identical
# emulator-5562, instances/test-fold-gpu (foldable, GPU=host since its first start), adb as the unrooted shell (uid 2000)
# release-like builds (assembleDefaultRelease, debug-signed); one snapshot per build, same fixture
# unfold = hinge sensor swept 0->180 deg in 10 deg steps; ms from the display-state request;
# frametimeline + logcat (Perfetto) and gfxinfo framestats (first frame after the switch), e2e/measure-unfold.sh
# unfold-ready-main = rev 170a1d59b, apk sha256 d90092aaf9b6116ddb9a370f1448de8945e80e5091aa423786e4f87534410042
# unfold-ready-rim = rev 2090b1a32, apk sha256 9f514dddcf4f6d164ccd21cdcbf4fb1ef50e89816cb3662f8c213f810646119c
# unfold-ready-settle = rev 762f0c5cb, apk sha256 4a09fdbaa633c97f853b95a5c6ec9153c9f9bf77b086ca333a30d55d3396165d
snapshot	run	hostload	config_ms	frame_start_ms	frame_end_ms	frame_ms	screen_on_ms	delay	anim	layout	record	sync	issue	swap	total
unfold-ready-main	1	3.65	86.400000	122.700000	240.100000	117.400000	279.800000	0.2	6.7	60.1	35.3	1.0	3.6	14.8	122.4
unfold-ready-rim	1	2.89	45.300000	184.500000	217.600000	33.100000	254.200000	0.4	0.4	0.6	7.9	0.2	4.2	16.1	30.4
unfold-ready-settle	1	2.13	41.000000	97.200000	149.500000	52.300000	171.200000	14.4	3.0	13.1	10.0	0.3	4.3	11.6	63.4
unfold-ready-main	2	1.73	22.800000	70.600000	185.000000	114.400000	210.900000	2.3	10.6	54.7	22.2	1.1	3.0	11.9	112.1
unfold-ready-rim	2	1.38	13.600000	141.100000	174.500000	33.300000	196.800000	0.1	1.1	1.6	10.2	0.3	3.9	14.0	31.6
unfold-ready-settle	2	1.29	22.800000	106.200000	174.600000	68.500000	219.200000	16.2	9.3	11.3	4.5	0.3	7.8	44.4	95.6
unfold-ready-main	3	1.36	20.200000	54.200000	169.400000	115.200000	190.200000	1.6	5.0	66.9	21.1	0.8	2.6	11.4	109.8
unfold-ready-rim	3	1.24	16.900000	144.400000	176.900000	32.500000	182.400000	1.0	0.9	1.0	8.0	0.2	3.6	10.9	26.1
unfold-ready-settle	3	0.89	20.300000	133.400000	181.900000	48.500000	207.200000	0.2	8.1	6.9	8.0	0.5	3.9	16.1	44.7
unfold-ready-main	4	0.72	59.100000	97.000000	230.300000	133.300000	256.800000	0.2	10.3	62.2	36.3	0.8	2.7	14.2	127.3
unfold-ready-rim	4	1.05	18.600000	145.300000	177.100000	31.800000	196.800000	1.6	0.0	0.5	7.9	0.6	3.6	16.5	31.3
unfold-ready-settle	4	0.82	33.000000	116.900000	160.200000	43.200000	189.900000	0.4	3.3	1.1	8.7	0.3	5.6	24.1	43.6
unfold-ready-main	5	0.66	85.000000	205.400000	272.100000	66.700000	293.200000	0.1	0.7	11.1	24.0	3.8	3.1	20.2	63.7
unfold-ready-rim	5	0.74	52.700000	203.500000	253.200000	49.700000	272.800000	0.5	0.5	1.4	18.1	0.3	3.8	15.1	41.8
unfold-ready-settle	5	1.01	21.500000	115.200000	165.300000	50.000000	190.300000	0.1	4.8	10.1	11.2	0.4	5.7	15.8	52.3
unfold-ready-main	6	0.78	48.500000	84.200000	187.700000	103.500000	258.300000	0.2	6.2	57.5	23.0	1.0	4.2	12.4	107.1
unfold-ready-rim	6	0.64	28.100000	119.000000	151.700000	32.700000	171.900000	0.7	0.4	4.8	9.1	0.2	3.9	12.7	32.1
unfold-ready-settle	6	0.46	51.300000	96.500000	179.600000	83.100000	282.500000	0.4	9.4	47.4	2.5	0.3	6.0	15.3	81.6
unfold-ready-main	7	0.40	20.700000	129.300000	179.400000	50.000000	199.100000	0.1	0.6	0.6	21.7	4.1	3.8	14.3	46.9
unfold-ready-rim	7	0.36	84.700000	119.300000	219.200000	99.800000	259.300000	0.3	7.2	50.6	7.2	0.3	4.1	15.8	91.7
unfold-ready-settle	7	0.54	29.800000	108.200000	169.700000	61.500000	182.700000	16.0	9.2	16.2	13.2	0.3	3.7	13.4	72.4
