# emulator-5562, instances/test-fold-gpu (foldable, GPU=host since its first start), adb as the unrooted shell (uid 2000)
# release-like builds (assembleDefaultRelease, debug-signed); one snapshot per build, same fixture
# unfold = hinge sensor swept 0->180 deg in 10 deg steps; ms from the display-state request;
# frametimeline + logcat (Perfetto) and gfxinfo framestats (first frame after the switch), e2e/measure-unfold.sh
# db8bb8fa9 is the superseded two-frame deferral: more launcher frames inside the display switch
# unfold-ready-main = rev 170a1d59b, apk sha256 d90092aaf9b6116ddb9a370f1448de8945e80e5091aa423786e4f87534410042
# unfold-ready-defer = rev db8bb8fa9, apk sha256 77319c7f0f4b0eef0e96f9bc2d889ff151d0288150ee022a917c17be923addb5
snapshot	run	hostload	config_ms	frame_start_ms	frame_end_ms	frame_ms	screen_on_ms	delay	anim	layout	record	sync	issue	swap	total
unfold-ready-main	1	1.03	17.300000	164.200000	214.000000	49.700000	234.000000	0.4	0.6	0.8	21.4	3.4	2.5	11.4	42.8
unfold-ready-defer	1	1.00	20.900000	104.600000	156.500000	51.900000	222.700000	14.9	1.5	19.1	3.7	0.3	6.2	19.7	65.8
unfold-ready-main	2	1.20	18.700000	59.000000	151.400000	92.400000	174.100000	7.8	5.8	45.3	24.4	1.0	3.3	16.2	104.4
unfold-ready-defer	2	1.11	82.500000	94.800000	166.200000	71.400000	285.900000	0.2	11.1	39.0	3.0	0.4	5.6	26.3	87.2
unfold-ready-main	3	1.33	50.700000	91.800000	207.200000	115.300000	261.200000	1.5	9.4	54.5	24.5	0.9	3.2	13.5	107.9
unfold-ready-defer	3	1.32	69.700000	155.700000	239.000000	83.300000	264.300000	0.1	3.0	32.7	10.7	0.3	11.7	13.4	72.2
unfold-ready-main	4	1.42	50.400000	95.400000	226.100000	130.800000	289.200000	0.3	10.3	80.8	26.0	0.9	2.8	13.7	135.2
unfold-ready-defer	4	1.21	78.400000	119.700000	216.900000	97.200000	289.300000	2.9	8.1	49.1	2.4	0.6	7.6	17.1	96.9
unfold-ready-main	5	1.00	68.800000	108.500000	291.200000	182.700000	322.800000	0.8	8.4	82.0	78.8	0.9	3.0	10.0	184.4
unfold-ready-defer	5	0.85	75.100000	117.300000	200.600000	83.200000	248.900000	0.3	7.4	50.4	2.7	0.3	8.2	17.9	88.4
unfold-ready-main	6	0.67	22.800000	161.400000	210.800000	49.300000	218.600000	0.8	0.7	0.5	21.4	3.1	2.4	10.1	39.5
unfold-ready-defer	6	0.70	51.400000	75.200000	140.900000	65.700000	195.500000	1.1	5.3	33.6	2.3	0.3	4.4	13.6	60.9
unfold-ready-main	7	0.93	92.800000	206.800000	256.800000	50.000000	276.300000	0.2	1.1	0.6	25.0	3.4	2.8	15.2	49.0
unfold-ready-defer	7	0.87	43.400000	151.100000	199.800000	48.700000	259.100000	1.4	9.5	7.1	8.7	0.2	4.2	15.6	47.1
unfold-ready-main	8	1.57	64.200000	253.700000	319.100000	65.300000	370.400000	6.0	0.8	7.0	31.2	6.0	6.5	13.6	72.7
unfold-ready-defer	8	1.96	47.400000	163.200000	194.700000	31.500000	267.700000	0.2	6.1	0.6	8.2	0.3	4.5	15.4	35.5
unfold-ready-main	9	1.54	83.600000	107.100000	214.400000	107.300000	293.300000	0.8	5.1	49.9	33.7	1.2	4.2	16.7	112.3
unfold-ready-defer	9	1.40	16.700000	66.000000	155.500000	89.500000	193.000000	0.2	6.7	39.8	2.6	0.8	6.9	34.2	93.5
unfold-ready-main	10	1.00	69.400000	191.200000	258.000000	66.800000	276.600000	0.9	0.2	21.5	27.1	2.3	2.7	12.4	67.6
unfold-ready-defer	10	1.06	71.900000	92.300000	189.000000	96.700000	249.800000	3.4	7.4	42.5	2.5	0.4	5.7	20.7	97.4
unfold-ready-main	11	1.19	15.800000	160.900000	210.900000	50.000000	217.700000	0.1	0.4	0.6	23.3	3.1	2.3	9.4	40.0
unfold-ready-defer	11	1.13	48.000000	125.500000	191.000000	65.500000	228.200000	1.3	2.0	25.0	4.2	1.5	11.4	12.1	59.6
unfold-ready-main	12	1.13	34.600000	151.100000	201.000000	50.000000	220.700000	0.1	0.6	1.0	21.0	3.9	2.4	14.8	44.4
unfold-ready-defer	12	1.01	42.500000	98.800000	182.100000	83.300000	262.400000	0.2	7.6	39.6	2.5	0.3	4.7	26.6	85.7
unfold-ready-main	13	0.72	20.000000	131.800000	197.600000	65.900000	204.700000	0.9	1.3	15.9	21.8	3.3	2.4	12.5	58.5
unfold-ready-defer	13	0.52	72.600000	103.300000	197.500000	94.200000	257.100000	6.0	7.7	65.3	3.3	0.3	4.6	13.0	101.4
unfold-ready-main	14	0.51	24.300000	125.300000	175.200000	50.000000	194.900000	0.1	0.4	9.5	21.0	3.3	2.4	12.1	49.2
unfold-ready-defer	14	0.54	89.300000	108.000000	170.900000	62.900000	277.000000	0.8	5.2	34.8	3.3	0.3	10.5	12.5	68.0
unfold-ready-main	15	0.45	21.600000	168.400000	218.300000	49.900000	225.300000	0.1	0.3	3.6	21.4	3.1	2.4	9.5	41.0
unfold-ready-defer	15	0.38	70.800000	92.100000	189.400000	97.300000	276.200000	2.9	19.1	42.9	2.4	0.5	5.2	16.0	96.6
