# serial emulator-5562, overlay test-fold-gpu, GPU host, adb uid 2000, runs 10
# unfold-m0 = rev 41332376e, apk sha256 6eaf7fdf44fe192834b3a500f591838177a2c304f69f134c595f6f0ccf2c1fc5
# unfold-m1 = rev ed86d45b9, apk sha256 933128bec23d9a4ef985654aa0d27a9e1095154b97fd5360e4664a8376670cb3
build	run	hostload	config_ms	frame_start_ms	frame_end_ms	frame_ms	screen_on_ms	delay	anim	layout	record	sync	issue	swap	total
unfold-m0	1	15.85	51.400000	122.300000	238.900000	116.600000	309.500000	0.3	23.9	51.6	10.8	0.4	8.0	20.9	116.2
unfold-m1	1	12.71	55.800000	100.200000	216.900000	116.700000	323.000000	0.2	11.3	62.8	12.4	0.3	5.6	20.0	112.9
unfold-m0	2	9.85	115.000000	296.700000	444.500000	147.800000	500.200000	2.3	39.5	70.0	12.8	0.4	7.6	15.6	148.9
unfold-m1	2	8.04	52.800000	96.900000	200.200000	103.300000	310.700000	1.3	15.3	50.6	8.8	0.8	8.3	22.1	107.6
unfold-m0	3	6.25	60.900000	120.300000	248.100000	127.800000	320.900000	0.2	23.9	67.7	14.8	0.4	5.0	17.3	130.0
unfold-m1	3	5.86	568.100000	1021.400000	1174.300000	152.900000	1472.100000	8.7	2.0	37.2	40.6	2.3	27.2	47.0	167.9
unfold-m0	4	4.86	17.500000	147.700000	197.800000	50.000000	224.200000	0.1	0.0	17.2	12.7	0.4	6.4	16.8	54.2
unfold-m1	4	4.11	30.700000	128.600000	202.300000	73.600000	232.800000	26.5	2.0	20.1	28.3	0.4	6.2	19.5	104.0
unfold-m0	5	3.65	54.600000	187.400000	219.600000	32.200000	241.200000	1.3	0.4	6.5	9.6	0.3	4.8	13.7	37.0
unfold-m1	5	5.20	49.100000	86.400000	186.300000	99.900000	297.600000	0.2	9.6	47.0	11.5	0.5	4.7	16.8	91.4
unfold-m0	6	4.99	127.400000	329.600000	456.300000	126.800000	541.200000	18.2	0.2	21.5	47.9	0.6	16.1	39.9	145.3
unfold-m1	6	4.47	73.100000	157.700000	224.300000	66.600000	329.800000	0.9	1.2	8.3	16.8	0.5	15.7	20.2	64.2
unfold-m0	7	3.77	84.800000	166.800000	226.400000	59.600000	271.000000	19.2	0.7	22.6	9.7	0.3	5.2	15.6	73.5
unfold-m1	7	3.73	58.500000	102.100000	181.800000	79.700000	271.600000	3.7	10.4	36.2	9.4	0.4	5.1	16.6	87.9
unfold-m0	8	3.15	32.900000	185.400000	251.500000	66.100000	351.400000	0.8	0.3	15.5	16.3	0.5	7.0	27.6	68.4
unfold-m1	8	3.57	97.700000	166.100000	276.100000	109.900000	343.300000	0.3	14.6	63.5	10.2	0.5	7.1	20.4	117.1
unfold-m0	9	3.71	499.800000	727.400000	1172.000000	444.600000	1516.900000	22.5	107.8	197.5	42.4	1.2	22.0	83.1	477.2
unfold-m1	9	8.61	618.100000	921.300000	1452.400000	531.100000	2106.300000	36.7	82.5	251.7	75.4	3.7	48.9	170.3	673.7
unfold-m0	10	9.99	20.100000	145.100000	194.900000	49.900000	232.500000	0.4	0.2	20.1	13.1	0.4	4.8	15.4	55.0
unfold-m1	10	8.50	391.000000	655.800000	1386.100000	730.300000	1691.900000	13.0	118.1	482.9	68.5	1.9	26.5	47.4	759.9
